200, 3
1, 0.628085, 0.861088
2, -0.283799, 0.767511
3, 1.86352, -0.0940225
4, -1.17352, 0.331214
5, -0.0034826, 0.947322
6, 0.820963, -0.09923
7, -1.5597, -0.582091
8, 0.163497, -0.701738
9, -0.319676, 0.437752
10, 0.598084, 0.343097
11, 0.103108, 0.293572
12, 1.54319, 0.577093
13, 1.81247, 0.505974
14, 0.17112, -0.545615
15, 0.0915717, 0.875123
16, -2.10551, -0.0856953
17, 0.309228, -1.51512
18, 0.533509, -2.00634
19, 1.51337, 2.15519
20, -1.05968, 0.160088
21, 1.29638, -0.613803
22, -1.08517, -0.755656
23, -0.192012, 0.974596
24, -0.996234, 0.344187
25, -1.48468, -0.0220681
26, -0.832049, -1.20083
27, -0.427841, 0.565146
28, -0.689891, 1.70932
29, 1.10152, 1.48387
30, -0.320908, -0.603449
31, 0.705347, -0.932187
32, 1.93094, 0.669258
33, 0.409813, -1.00281
34, -1.67489, 0.082256
35, -1.00441, -2.92185
36, -0.60623, -0.229679
37, 0.568274, -1.09107
38, -0.252449, -0.603068
39, 0.557526, 0.211162
40, -1.54001, -0.635046
41, 0.470563, 0.180926
42, 0.640898, 0.977412
43, -1.95233, -0.584777
44, -0.197406, 0.159063
45, -0.933422, 0.350757
46, 0.628981, 1.36717
47, -0.744803, -0.400746
48, -1.14503, -0.0723499
49, -2.57312, -0.19107
50, 1.65704, 1.0324
51, 3.89488, 0.36153
52, 3.27214, 0.470993
53, 6.50617, -2.23735
54, 5.33387, 0.147109
55, 2.95748, -0.26871
56, 4.78069, -0.461387
57, 3.97869, 0.0562139
58, 4.33574, 1.5907
59, 4.36331, -1.8619
60, 3.34067, -1.14007
61, 4.40767, 0.836562
62, 3.17429, 0.103317
63, 4.24981, -0.841025
64, 4.59668, 0.853055
65, 5.5035, 1.2338
66, 4.69996, -0.125693
67, 3.46261, 0.417597
68, 5.46247, 0.405803
69, 3.28633, 0.404199
70, 5.19049, -0.289488
71, 5.39248, -2.58911
72, 4.64643, -1.91355
73, 2.91092, 0.823277
74, 4.50728, -0.752723
75, 5.39233, -0.0917422
76, 3.75783, 1.44041
77, 5.54109, 0.590537
78, 3.32556, 2.34407
79, 5.70611, 1.29538
80, 3.6281, 0.30799
81, 1.59342, -0.412161
82, 3.26029, -0.485454
83, 3.53685, -0.0852305
84, 4.43611, 0.902472
85, 5.67602, -0.787895
86, 1.66571, -0.239669
87, 4.45372, 0.924078
88, 4.56316, -1.82524
89, 4.70068, 0.0358106
90, 5.50527, -0.183926
91, 3.34451, 0.547529
92, 2.81174, 0.441925
93, 4.02608, -0.322117
94, 3.71555, -0.692224
95, 3.64737, 1.20501
96, 5.04635, 0.525214
97, 1.95011, -0.511131
98, 4.34989, -0.88639
99, 4.42584, 0.770176
100, 3.17672, 0.0774784
101, 0.17972, 6.26774
102, 0.329445, 4.68818
103, 1.67193, 5.53967
104, 1.36191, 7.00135
105, 0.108337, 6.30372
106, -0.226531, 5.63438
107, 1.41217, 7.16842
108, -0.49232, 4.73333
109, 1.62622, 4.80539
110, 0.583136, 4.79206
111, -1.83562, 5.4907
112, -0.404906, 6.66992
113, -0.632225, 5.66104
114, -1.03832, 6.49622
115, 1.36155, 6.24799
116, 1.72394, 6.01391
117, 1.97106, 7.1171
118, 0.995823, 6.28646
119, 1.78633, 7.09809
120, 3.09507, 5.89361
121, 1.39639, 5.18315
122, -0.1885, 5.15283
123, 1.99627, 5.60333
124, 0.451663, 5.70084
125, 1.67046, 7.90509
126, 0.548422, 4.21629
127, -0.27862, 8.47774
128, 1.29956, 5.73204
129, 1.14281, 6.23054
130, 0.754176, 7.21482
131, 0.12478, 6.57877
132, 4.1538, 5.15771
133, 1.69167, 6.2872
134, 2.00475, 5.71732
135, 0.067065, 5.90022
136, 1.77979, 5.45134
137, 0.672073, 7.64555
138, 0.286158, 7.90316
139, 1.62861, 5.9075
140, 0.74838, 7.40149
141, 1.68901, 7.06892
142, 2.31427, 6.53404
143, -0.164025, 7.27295
144, 1.62776, 6.23358
145, 1.08233, 6.02106
146, -0.339159, 6.26824
147, 0.487334, 6.09129
148, 2.10112, 6.07436
149, -0.513599, 5.64686
150, -0.280739, 6.84799
151, 3.74066, 7.07059
152, 5.30652, 6.63192
153, 7.03556, 8.35935
154, 5.48709, 8.08277
155, 4.58718, 7.92852
156, 6.00854, 5.28726
157, 3.83307, 7.5411
158, 4.57426, 6.22369
159, 5.39435, 6.24427
160, 2.01597, 6.03402
161, 4.94846, 8.07197
162, 4.20247, 8.09881
163, 4.7035, 5.94389
164, 6.87296, 7.90489
165, 6.765, 6.60969
166, 5.91294, 7.34976
167, 3.98096, 7.71713
168, 6.95292, 7.20444
169, 4.42454, 6.3249
170, 6.72165, 5.97668
171, 6.65997, 7.92577
172, 5.49656, 8.15394
173, 5.7825, 6.62064
174, 7.17209, 7.36626
175, 3.99388, 5.76204
176, 5.99893, 6.34116
177, 5.54521, 5.03044
178, 3.81112, 6.92089
179, 4.79609, 5.89036
180, 3.33421, 7.27936
181, 4.50672, 6.72193
182, 5.83459, 6.05748
183, 7.85537, 7.25947
184, 6.76499, 6.33852
185, 3.75168, 7.88474
186, 3.4845, 7.05887
187, 4.75297, 6.87426
188, 4.7826, 7.81472
189, 3.41985, 7.34643
190, 5.73478, 7.56754
191, 7.069, 6.85401
192, 5.86653, 6.28578
193, 3.60808, 7.72509
194, 4.1869, 5.13902
195, 4.20569, 4.56483
196, 4.61295, 8.07062
197, 4.6348, 6.83832
198, 3.17781, 7.64022
199, 3.51955, 5.10908
200, 4.2383, 6.72271
