100, 3
1, 102, 224
2, 102, 214
3, 103, 209
4, 109, 212
5, 114, 216
6, 115, 220
7, 115, 233
8, 111, 233
9, 109, 228
10, 108, 224
11, 113, 225
12, 104, 217
13, 100, 220
14, 92, 222
15, 95, 228
16, 97, 230
17, 106, 232
18, 112, 236
19, 110, 237
20, 106, 239
21, 105, 239
22, 96, 240
23, 93, 237
24, 91, 233
25, 91, 225
26, 91, 218
27, 91, 215
28, 92, 212
29, 97, 212
30, 105, 211
31, 107, 212
32, 117, 202
33, 103, 191
34, 125, 185
35, 108, 178
36, 113, 167
37, 128, 164
38, 144, 170
39, 108, 155
40, 124, 148
41, 115, 145
42, 116, 137
43, 126, 129
44, 133, 128
45, 127, 143
46, 141, 145
47, 139, 150
48, 134, 152
49, 136, 143
50, 135, 137
51, 125, 138
52, 123, 134
53, 131, 125
54, 132, 115
55, 138, 123
56, 138, 126
57, 142, 128
58, 141, 131
59, 136, 134
60, 132, 137
61, 121, 133
62, 116, 132
63, 116, 123
64, 122, 123
65, 127, 124
66, 138, 127
67, 142, 127
68, 143, 135
69, 146, 140
70, 143, 144
71, 130, 151
72, 124, 151
73, 118, 148
74, 116, 143
75, 112, 137
76, 116, 131
77, 116, 125
78, 117, 119
79, 120, 118
80, 127, 117
81, 136, 122
82, 141, 129
83, 147, 129
84, 146, 134
85, 145, 126
86, 141, 120
87, 137, 117
88, 139, 113
89, 147, 118
90, 144, 113
91, 141, 110
92, 134, 110
93, 130, 108
94, 131, 104
95, 134, 102
96, 141, 102
97, 145, 101
98, 140, 109
99, 145, 109
100, 149, 109
