200, 3
1, -3.62, 9.37
2, -3.6, 12.97
3, -3.05, 7.28
4, -2.9, 12.02
5, -2.88, 9.86
6, -2.64, 10.38
7, -2.52, 9.3
8, -2.49, 12.75
9, -2.45, 9.49
10, -2.18, 10.58
11, -2.14, 11.85
12, -2.09, 8.62
13, -2.05, 8.5
14, -1.95, 12.57
15, -1.94, 9.52
16, -1.89, 7.28
17, -1.88, 11.37
18, -1.85, 9.34
19, -1.82, 10.31
20, -1.8, 9.55
21, -1.74, 11.95
22, -1.7, 9.29
23, -1.66, 8.04
24, -1.53, 12.43
25, -1.46, 11.76
26, -1.43, 12.13
27, -1.43, 9.57
28, -1.39, 9.28
29, -1.39, 6.79
30, -1.37, 8.66
31, -1.34, 10.62
32, -1.33, 10.5
33, -1.27, 9.17
34, -1.23, 10.94
35, -1.22, 9.98
36, -1.1, 9.39
37, -1.02, 10.11
38, -0.93, 8.23
39, -0.92, 9.02
40, -0.89, 10.07
41, -0.86, 8.89
42, -0.84, 6.64
43, -0.84, 14.04
44, -0.81, 11.05
45, -0.73, 11.23
46, -0.72, 8.62
47, -0.58, 12.36
48, -0.52, 11.1
49, -0.51, 11.74
50, -0.48, 8.48
51, -0.44, 8.76
52, -0.42, 8.04
53, -0.41, 8.95
54, -0.39, 8.03
55, -0.37, 8.88
56, -0.22, 12.29
57, -0.2, 11.03
58, -0.2, 11.38
59, -0.18, 10.8
60, -0.18, 9.04
61, -0.16, 12.39
62, -0.07, 11.84
63, -0.04, 9.31
64, -0.04, 9.85
65, -0.03, 10.62
66, 0.01, 9.89
67, 0.02, 12.75
68, 0.18, 10.14
69, 0.27, 12.31
70, 0.33, 10.39
71, 0.37, 8.03
72, 0.4, 9.58
73, 0.44, 11.17
74, 0.58, 9.74
75, 0.6, 8.31
76, 0.64, 8.21
77, 0.65, 9.2
78, 0.79, 11.35
79, 0.79, 12.39
80, 0.8, 8.35
81, 0.81, 8.13
82, 0.82, 11.07
83, 0.87, 10.16
84, 0.88, 12.39
85, 0.9, 8.48
86, 1.04, 11.21
87, 1.19, 9.69
88, 1.2, 7.74
89, 1.34, 11.83
90, 1.35, 11.25
91, 1.36, 8.97
92, 1.52, 8.76
93, 1.62, 8.52
94, 1.67, 12.55
95, 1.74, 9.69
96, 1.78, 8.68
97, 1.92, 7.66
98, 1.97, 9.78
99, 1.98, 9.76
100, 1.98, 11.04
101, 2.09, 6.91
102, 2.21, 11.36
103, 2.28, 9.89
104, 2.34, 10.69
105, 2.34, 10.7
106, 2.45, 9.64
107, 2.53, 8.88
108, 2.56, 9.33
109, 2.67, 6.25
110, 2.67, 12.68
111, 2.68, 11.47
112, 2.71, 10.91
113, 3.12, 13.81
114, 3.14, 10.02
115, 3.19, 11.96
116, 5.52, 9.59
117, -3.49, 5.9
118, -0.6, 5.28
119, -0.04, 5.7
120, 0.5, 4.67
121, 9.12, 22.42
122, 10.92, 21.23
123, 7.96, 20.19
124, 8.48, 19.69
125, 8.73, 20.33
126, 8.92, 19.75
127, 9.1, 19.94
128, 9.19, 18.98
129, 9.25, 19.87
130, 9.33, 19.86
131, 9.51, 20.19
132, 9.53, 18.82
133, 9.64, 19.27
134, 9.88, 19.66
135, 10.03, 19.52
136, 10.22, 19.42
137, 10.26, 19.57
138, 10.3, 19.19
139, 10.6, 20.27
140, 11.04, 18.5
141, 18.38, 12.38
142, 18.55, 11.65
143, 18.68, 11.56
144, 18.81, 11.94
145, 18.97, 13.11
146, 19.11, 12.48
147, 19.21, 12.86
148, 19.25, 12.81
149, 19.36, 12.42
150, 19.38, 12.68
151, 19.41, 12.66
152, 19.56, 13.01
153, 19.59, 13.35
154, 19.65, 13.62
155, 19.67, 13.21
156, 19.76, 12.56
157, 19.84, 12.99
158, 19.96, 12.68
159, 20.3, 13.16
160, 20.4, 13.36
161, 19.24, 11.77
162, 19.3, 11.82
163, 19.41, 11.44
164, 19.47, 11.88
165, 19.56, 10.93
166, 19.71, 11.34
167, 19.8, 11.92
168, 19.81, 11.74
169, 19.84, 11.76
170, 19.89, 11.29
171, 19.96, 11.98
172, 19.99, 11.99
173, 20, 11.73
174, 20, 11.66
175, 20.07, 12.16
176, 20.1, 11.93
177, 20.11, 11.4
178, 20.13, 12.42
179, 20.21, 11.91
180, 20.22, 10.65
181, 20.24, 10.96
182, 20.27, 11.82
183, 20.3, 11.65
184, 20.44, 11.67
185, 20.45, 10.95
186, 20.5, 11.88
187, 20.55, 11.93
188, 20.58, 11.94
189, 20.58, 12.21
190, 20.61, 12.41
191, 20.7, 12.17
192, 20.74, 12.1
193, 20.82, 12.6
194, 20.82, 12.16
195, 20.83, 11.77
196, 20.87, 12.96
197, 20.91, 11.58
198, 21.04, 11.51
199, 21.12, 11.83
200, 21.49, 11.25
